Points,Mode,Time_Seconds,Throughput_Mpts,Speedup_vs_CPU
1000000,CPU,0.2552,3.92,1.00
1000000,CPU-MT,0.2192,4.56,1.16
1000000,GPU-Host,0.1217,8.22,2.10
1000000,GPU-Device,0.0702,14.25,3.63
5000000,CPU,2.5553,1.96,1.00
5000000,CPU-MT,2.9328,1.70,0.87
5000000,GPU-Host,0.1530,32.67,16.70
5000000,GPU-Device,0.0996,50.21,25.66
10000000,CPU,7.1632,1.40,1.00
10000000,CPU-MT,7.8211,1.28,0.92
10000000,GPU-Host,2.0666,4.84,3.47
10000000,GPU-Device,0.1733,57.71,41.34
25000000,CPU,29.3626,0.85,1.00
25000000,CPU-MT,28.9616,0.86,1.01
25000000,GPU-Host,6.6574,3.76,4.41
25000000,GPU-Device,0.3428,72.92,85.65
